#genome	all_coding_data	all_data	asm_name	ass_id	assembly_accession	assembly_level	bioproject	biosample	dwlf	faa_lname	ffn_lname	fna_lname	frn_lname	ftp_path	gbrs_paired_asm	genome	genome_rep	infraspecific_name	isolate	organism_name	outdir	paired_asm_comp	refseq_category	release_type	score_faa	score_fna	score_rrna	score_trna	seq_rel_date	species_taxid	submitter	taxid	taxonomy	version_status	wgs_master
G001629905	Y	N	ViralProj318651	G001629905	GCF_001629905.1	Complete Genome	PRJNA318651		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001629905.1_ViralProj318651	G001629905.faa.bz2	G001629905.ffn.bz2	G001629905.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001629905.1_ViralProj318651	na	G001629905	Full		QV323	Potato necrosis virus	microbes	na	na	Major	0.1	1	0	0	2015/09/25	1725329	NA	1725329	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae|g__Tombusviridae_noname|s__Potato_necrosis_virus	latest	NA
G000913395	Y	Y	ViralProj215672	G000913395	GCF_000913395.1	Complete Genome	PRJNA215672		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000913395.1_ViralProj215672	G000913395.faa.bz2	G000913395.ffn.bz2	G000913395.fna.bz2	G000913395.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000913395.1_ViralProj215672	na	G000913395	Full			Mycobacterium phage Goku	microbes	na	na	Major	0.1	1	0.1	0.1	2013/08/08	1383057	NA	1383057	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_Goku	latest	NA
G000863645	Y	N	ViralProj15447	G000863645	GCF_000863645.1	Complete Genome	PRJNA15447		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000863645.1_ViralProj15447	G000863645.faa.bz2	G000863645.ffn.bz2	G000863645.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000863645.1_ViralProj15447	na	G000863645	Full		B	Pennisetum mosaic virus	microbes	na	na	Major	0.1	1	0	0	2004/11/02	221262	NA	221262	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Pennisetum_mosaic_virus	latest	NA
G001042335	Y	N	ViralProj288012	G001042335	GCF_001042335.1	Complete Genome	PRJNA288012		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001042335.1_ViralProj288012	G001042335.faa.bz2	G001042335.ffn.bz2	G001042335.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001042335.1_ViralProj288012	na	G001042335	Full		PHL116M00	Propionibacterium phage PHL116	microbes	na	na	Major	0.1	1	0	0	2014/08/01	1647430	NA	1647430	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_PHL116	latest	NA
G000969215	Y	N	ViralProj280304	G000969215	GCF_000969215.1	Complete Genome	PRJNA280304		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000969215.1_ViralProj280304	G000969215.faa.bz2	G000969215.ffn.bz2	G000969215.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000969215.1_ViralProj280304	na	G000969215	Full		6b	Bat polyomavirus 6b	microbes	na	na	Major	0.1	1	0	0	2015/03/01	1623689	NA	1623689	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus|s__Bat_polyomavirus_6b	latest	NA
G000889035	Y	N	ViralProj48419	G000889035	GCF_000889035.1	Complete Genome	PRJNA48419		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000889035.1_ViralProj48419	G000889035.faa.bz2	G000889035.ffn.bz2	G000889035.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000889035.1_ViralProj48419	na	G000889035	Full		20.5	Chiltepin yellow mosaic virus	microbes	na	na	Major	0.1	1	0	0	2010/05/05	688701	NA	688701	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Tymoviridae|g__Tymovirus|s__Chiltepin_yellow_mosaic_virus	latest	NA
G000898595	Y	N	ViralProj174773	G000898595	GCF_000898595.1	Complete Genome	PRJNA174773		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000898595.1_ViralProj174773	G000898595.faa.bz2	G000898595.ffn.bz2	G000898595.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000898595.1_ViralProj174773	na	G000898595	Full	strain=cn-taihu100401		Macrobrachium rosenbergii Taihu virus	microbes	na	na	Major	0.1	1	0	0	2011/05/24	1027947	NA	1027947	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Dicistroviridae|g__Dicistroviridae_noname|s__Macrobrachium_rosenbergii_Taihu_virus	latest	NA
G001501975	Y	N	ViralProj307740	G001501975	GCF_001501975.1	Complete Genome	PRJNA307740		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001501975.1_ViralProj307740	G001501975.faa.bz2	G001501975.ffn.bz2	G001501975.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001501975.1_ViralProj307740	na	G001501975	Full			Mycobacterium phage ShedlockHolmes	microbes	na	na	Major	0.1	1	0	0	2015/05/01	1647313	NA	1647313	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_ShedlockHolmes	latest	NA
G000848945	Y	N	ViralProj14618	G000848945	GCF_000848945.1	Complete Genome	PRJNA14618		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000848945.1_ViralProj14618	G000848945.faa.bz2	G000848945.ffn.bz2	G000848945.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000848945.1_ViralProj14618	na	G000848945	Full		Ashy-headed sheldgoose hepatitis B virus	Sheldgoose hepatitis B virus	microbes	na	na	Major	0.1	1	0	0	2004/01/09	259898	NA	259898	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Hepadnaviridae|g__Hepadnaviridae_noname|s__Sheldgoose_hepatitis_B_virus	latest	NA
G000903655	Y	N	ViralProj183158	G000903655	GCF_000903655.1	Complete Genome	PRJNA183158		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000903655.1_ViralProj183158	G000903655.faa.bz2	G000903655.ffn.bz2	G000903655.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000903655.1_ViralProj183158	na	G000903655	Full			Enterobacteria phage HK106	microbes	na	na	Major	0.1	1	0	0	2012/04/06	432198	NA	432198	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Enterobacteria_phage_HK106	latest	NA
G000865345	Y	N	ViralProj16246	G000865345	GCF_000865345.1	Complete Genome	PRJNA16246		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000865345.1_ViralProj16246	G000865345.faa.bz2	G000865345.ffn.bz2	G000865345.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000865345.1_ViralProj16246	na	G000865345	Full	strain=X313		Papiine herpesvirus 2	microbes	na	na	Major	0.1	1	0	0	2005/09/20	340907	NA	340907	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Simplexvirus|s__Papiine_herpesvirus_2	latest	NA
G000864965	Y	N	ViralProj15517	G000864965	GCF_000864965.1	Complete Genome	PRJNA15517		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000864965.1_ViralProj15517	G000864965.faa.bz2	G000864965.ffn.bz2	G000864965.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000864965.1_ViralProj15517	na	G000864965	Full		AMCV-Bari Dr.Gallitelli isolate	Artichoke mottled crinkle virus	microbes	na	na	Major	0.1	1	0	0	1993/04/21	12142	NA	12142	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae|g__Tombusvirus|s__Artichoke_mottled_crinkle_virus	latest	NA
G000856365	Y	N	ViralProj14987	G000856365	GCF_000856365.1	Complete Genome	PRJNA14987		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000856365.1_ViralProj14987	G000856365.faa.bz2	G000856365.ffn.bz2	G000856365.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000856365.1_ViralProj14987	na	G000856365	Full		Korea	Garlic virus X	microbes	na	na	Major	0.1	1	0	0	1997/03/15	150284	NA	150284	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Alphaflexiviridae|g__Allexivirus|s__Garlic_virus_X	latest	NA
G000891315	Y	Y	ViralProj72385	G000891315	GCF_000891315.1	Complete Genome	PRJNA72385		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000891315.1_ViralProj72385	G000891315.faa.bz2	G000891315.ffn.bz2	G000891315.fna.bz2	G000891315.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000891315.1_ViralProj72385	na	G000891315	Full	strain=TMA		Thermus phage TMA	microbes	na	na	Major	0.1	1	0.1	0.1	2011/07/27	699370	NA	699370	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Thermus_phage_TMA	latest	NA
G000919775	Y	N	ViralProj244308	G000919775	GCF_000919775.1	Complete Genome	PRJNA244308		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000919775.1_ViralProj244308	G000919775.faa.bz2	G000919775.ffn.bz2	G000919775.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000919775.1_ViralProj244308	na	G000919775	Full	strain=persimmon isolate		Persimmon latent virus	microbes	na	na	Major	0.1	1	0	0	2013/05/29	1211481	NA	1211481	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Persimmon_latent_virus	latest	NA
G000915255	Y	N	ViralProj232774	G000915255	GCF_000915255.1	Complete Genome	PRJNA232774		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915255.1_ViralProj232774	G000915255.faa.bz2	G000915255.ffn.bz2	G000915255.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915255.1_ViralProj232774	na	G000915255	Full		Re01-25	Zucchini tigre mosaic virus	microbes	na	na	Major	0.1	1	0	0	2013/10/23	1406816	NA	1406816	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Zucchini_tigre_mosaic_virus	latest	NA
G000866865	Y	N	ViralProj16234	G000866865	GCF_000866865.1	Complete Genome	PRJNA16234		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000866865.1_ViralProj16234	G000866865.faa.bz2	G000866865.ffn.bz2	G000866865.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000866865.1_ViralProj16234	na	G000866865	Full	strain=BJ1035		Ovine herpesvirus 2	microbes	na	na	Major	0.1	1	0	0	2005/03/29	10398	NA	10398	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Ovine_herpesvirus_2	latest	NA
G001190475	Y	N	ViralProj291243	G001190475	GCF_001190475.1	Complete Genome	PRJNA291243		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001190475.1_ViralProj291243	G001190475.faa.bz2	G001190475.ffn.bz2	G001190475.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001190475.1_ViralProj291243	na	G001190475	Full		Bog5712_52	Gokushovirinae Bog5712_52	microbes	na	na	Major	0.1	1	0	0	2015/05/22	1655649	NA	1655649	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Microviridae|g__Microviridae_noname|s__Gokushovirinae_Bog5712_52	latest	NA
G001501055	Y	N	ViralProj307711	G001501055	GCF_001501055.1	Complete Genome	PRJNA307711		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001501055.1_ViralProj307711	G001501055.faa.bz2	G001501055.ffn.bz2	G001501055.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001501055.1_ViralProj307711	na	G001501055	Full			Pseudomonas phage vB_Pae_PS44	microbes	na	na	Major	0.1	1	0	0	2014/11/03	1542090	NA	1542090	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Pseudomonas_phage_vB_Pae_PS44	latest	NA
G000912195	Y	N	ViralProj225922	G000912195	GCF_000912195.1	Complete Genome	PRJNA225922		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000912195.1_ViralProj225922	G000912195.faa.bz2	G000912195.ffn.bz2	G000912195.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000912195.1_ViralProj225922	na	G000912195	Full		TNI1	Turkey aviadenovirus 4	microbes	na	na	Major	0.1	1	0	0	2013/10/22	1408257	NA	1408257	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Aviadenovirus|s__Turkey_aviadenovirus_4	latest	NA
G000909515	Y	N	ViralProj212711	G000909515	GCF_000909515.1	Complete Genome	PRJNA212711		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000909515.1_ViralProj212711	G000909515.faa.bz2	G000909515.ffn.bz2	G000909515.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000909515.1_ViralProj212711	na	G000909515	Full			Salmonella phage FSLSP088	microbes	na	na	Major	0.1	1	0	0	2013/02/20	1173757	NA	1173757	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Chilikevirus|s__Salmonella_phage_FSLSP088	latest	NA
G000870485	Y	N	ViralProj18855	G000870485	GCF_000870485.1	Complete Genome	PRJNA18855		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870485.1_ViralProj18855	G000870485.faa.bz2	G000870485.ffn.bz2	G000870485.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870485.1_ViralProj18855	na	G000870485	Full			Israeli acute paralysis virus	microbes	na	na	Major	0.1	1	0	0	2007/02/06	294365	NA	294365	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Dicistroviridae|g__Aparavirus|s__Israeli_acute_paralysis_virus	latest	NA
G000874305	Y	N	ViralProj20961	G000874305	GCF_000874305.1	Complete Genome	PRJNA20961		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000874305.1_ViralProj20961	G000874305.faa.bz2	G000874305.ffn.bz2	G000874305.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000874305.1_ViralProj20961	na	G000874305	Full			Pseudomonas phage MP22	microbes	na	na	Major	0.1	1	0	0	2006/08/08	397353	NA	397353	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__D3112likevirus|s__Pseudomonas_phage_MP22	latest	NA
G000890595	Y	N	ViralMultiSegProj62547	G000890595	GCF_000890595.1	Complete Genome	PRJNA62547		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000890595.1_ViralMultiSegProj62547	G000890595.faa.bz2	G000890595.ffn.bz2	G000890595.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000890595.1_ViralMultiSegProj62547	na	G000890595	Full		JU1264	Santeuil nodavirus	microbes	na	na	Major	0.1	0.386	0	0	2011/01/31	977913	NA	977913	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Nodaviridae|g__Nodaviridae_noname|s__Santeuil_nodavirus	latest	NA
G000850065	Y	N	ViralProj14677	G000850065	GCF_000850065.1	Complete Genome	PRJNA14677		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000850065.1_ViralProj14677	G000850065.faa.bz2	G000850065.ffn.bz2	G000850065.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000850065.1_ViralProj14677	na	G000850065	Full	strain=WRAC		Infectious hematopoietic necrosis virus	microbes	na	na	Major	0.1	1	0	0	1995/03/22	11290	NA	11290	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales|f__Rhabdoviridae|g__Novirhabdovirus|s__Infectious_hematopoietic_necrosis_virus	latest	NA
G000837345	Y	N	ViralProj14129	G000837345	GCF_000837345.1	Complete Genome	PRJNA14129		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837345.1_ViralProj14129	G000837345.faa.bz2	G000837345.ffn.bz2	G000837345.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837345.1_ViralProj14129	na	G000837345	Full			Blueberry red ringspot virus	microbes	na	na	Major	0.1	1	0	0	2002/05/29	172220	NA	172220	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Caulimoviridae|g__Soymovirus|s__Blueberry_red_ringspot_virus	latest	NA
G000954915	Y	N	ViralProj277522	G000954915	GCF_000954915.1	Complete Genome	PRJNA277522		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000954915.1_ViralProj277522	G000954915.faa.bz2	G000954915.ffn.bz2	G000954915.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000954915.1_ViralProj277522	na	G000954915	Full		AHEaCV-6-NZ-2194TU-2012	Avon-Heathcote Estuary associated circular virus 6	microbes	na	na	Major	0.1	1	0	0	2015/02/25	1618257	NA	1618257	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Circoviridae|g__Circoviridae_noname|s__Avon_Heathcote_Estuary_associated_circular_virus_6	latest	NA
G000855745	Y	N	ViralMultiSegProj15036	G000855745	GCF_000855745.1	Complete Genome	PRJNA15036		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000855745.1_ViralMultiSegProj15036	G000855745.faa.bz2	G000855745.ffn.bz2	G000855745.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000855745.1_ViralMultiSegProj15036	na	G000855745	Full	strain=ML29 IGS-15		Mopeia Lassa virus reassortant 29	microbes	na	na	Major	0.1	0.516	0	0	2004/11/10	300180	NA	300180	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Arenaviridae|g__Arenavirus|s__Mopeia_Lassa_virus_reassortant_29	latest	NA
G000910835	Y	N	ViralProj215121	G000910835	GCF_000910835.1	Complete Genome	PRJNA215121		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910835.1_ViralProj215121	G000910835.faa.bz2	G000910835.ffn.bz2	G000910835.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910835.1_ViralProj215121	na	G000910835	Full			Mycobacterium phage Daenerys	microbes	na	na	Major	0.1	1	0	0	2013/08/08	1340822	NA	1340822	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_Daenerys	latest	NA
G000910735	N	N	ViralProj214366	G000910735	GCF_000910735.1	Complete Genome	PRJNA214366		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910735.1_ViralProj214366			G000910735.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910735.1_ViralProj214366	na	G000910735	Full		Mc1	Malvastrum leaf curl Philippines betasatellite	microbes	na	na	Major	0	1	0	0	2013/07/31	1367671	NA	1367671	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Malvastrum_leaf_curl_Philippines_betasatellite	latest	NA
G000904835	Y	N	ViralProj184152	G000904835	GCF_000904835.1	Complete Genome	PRJNA184152		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000904835.1_ViralProj184152	G000904835.faa.bz2	G000904835.ffn.bz2	G000904835.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000904835.1_ViralProj184152	na	G000904835	Full			Bacillus phage BMBtp2	microbes	na	na	Major	0.1	1	0	0	2012/10/17	1236573	NA	1236573	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tp2unalikevirus|s__Bacillus_phage_BMBtp2	latest	NA
G000915235	Y	N	ViralProj231683	G000915235	GCF_000915235.1	Complete Genome	PRJNA231683		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915235.1_ViralProj231683	G000915235.faa.bz2	G000915235.ffn.bz2	G000915235.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915235.1_ViralProj231683	na	G000915235	Full		pToGNbH14	Tomato leaf curl Gandhinagar betasatellite	microbes	na	na	Major	0.1	1	0	0	2013/08/13	1384632	NA	1384632	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Tomato_leaf_curl_Gandhinagar_betasatellite	latest	NA
G000853745	Y	N	ViralProj14935	G000853745	GCF_000853745.1	Complete Genome	PRJNA14935		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000853745.1_ViralProj14935	G000853745.faa.bz2	G000853745.ffn.bz2	G000853745.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000853745.1_ViralProj14935	na	G000853745	Full	strain=Japanese		Paprika mild mottle virus	microbes	na	na	Major	0.1	1	0	0	2002/08/08	35281	NA	35281	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus|s__Paprika_mild_mottle_virus	latest	NA
G000906475	Y	Y	ViralProj185315	G000906475	GCF_000906475.1	Complete Genome	PRJNA185315		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000906475.1_ViralProj185315	G000906475.faa.bz2	G000906475.ffn.bz2	G000906475.fna.bz2	G000906475.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000906475.1_ViralProj185315	na	G000906475	Full			Escherichia phage phAPEC8	microbes	na	na	Major	0.1	1	0.1	0.1	2012/10/05	1229753	NA	1229753	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Escherichia_phage_phAPEC8	latest	NA
G000870345	Y	N	ViralProj18515	G000870345	GCF_000870345.1	Complete Genome	PRJNA18515		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870345.1_ViralProj18515	G000870345.faa.bz2	G000870345.ffn.bz2	G000870345.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870345.1_ViralProj18515	na	G000870345	Full	strain=UgIL-30		Entebbe bat virus	microbes	na	na	Major	0.1	1	0	0	2006/08/21	64283	NA	64283	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Flaviviridae|g__Flavivirus|s__Entebbe_bat_virus	latest	NA
G000924655	Y	N	ViralProj264935	G000924655	GCF_000924655.1	Complete Genome	PRJNA264935		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000924655.1_ViralProj264935	G000924655.faa.bz2	G000924655.ffn.bz2	G000924655.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000924655.1_ViralProj264935	na	G000924655	Full	strain=budgerigar/Kunitachi/74		Avian paramyxovirus 5	microbes	na	na	Major	0.1	1	0	0	2010/03/05	740710	NA	740710	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales|f__Paramyxoviridae|g__Avulavirus|s__Avian_paramyxovirus_5	latest	NA
G000846425	Y	N	ViralProj14435	G000846425	GCF_000846425.1	Complete Genome	PRJNA14435		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000846425.1_ViralProj14435	G000846425.faa.bz2	G000846425.ffn.bz2	G000846425.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000846425.1_ViralProj14435	na	G000846425	Full			Mouse mammary tumor virus	microbes	na	na	Major	0.1	1	0	0	1998/01/22	11757	NA	11757	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Betaretrovirus|s__Mouse_mammary_tumor_virus	latest	NA
G000895335	Y	N	ViralProj84405	G000895335	GCF_000895335.1	Complete Genome	PRJNA84405		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000895335.1_ViralProj84405	G000895335.faa.bz2	G000895335.ffn.bz2	G000895335.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000895335.1_ViralProj84405	na	G000895335	Full	strain=M09-20		Trichechus manatus latirostris papillomavirus 2	microbes	na	na	Major	0.1	1	0	0	2012/02/08	1144379	NA	1144379	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Papillomaviridae|g__Papillomaviridae_noname|s__Trichechus_manatus_latirostris_papillomavirus_2	latest	NA
G000913555	Y	N	ViralProj219120	G000913555	GCF_000913555.1	Complete Genome	PRJNA219120		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000913555.1_ViralProj219120	G000913555.faa.bz2	G000913555.ffn.bz2	G000913555.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000913555.1_ViralProj219120	na	G000913555	Full			Mycobacterium phage Dylan	microbes	na	na	Major	0.1	1	0	0	2013/08/12	1340831	NA	1340831	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_Dylan	latest	NA
G000928835	Y	N	ViralProj268860	G000928835	GCF_000928835.1	Complete Genome	PRJNA268860		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000928835.1_ViralProj268860	G000928835.faa.bz2	G000928835.ffn.bz2	G000928835.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000928835.1_ViralProj268860	na	G000928835	Full		2835	Black sea bass polyomavirus 1	microbes	na	na	Major	0.1	1	0	0	2014/11/18	1572341	NA	1572341	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus|s__Black_sea_bass_polyomavirus_1	latest	NA
G000856625	Y	N	ViralProj15046	G000856625	GCF_000856625.1	Complete Genome	PRJNA15046		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000856625.1_ViralProj15046	G000856625.faa.bz2	G000856625.ffn.bz2	G000856625.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000856625.1_ViralProj15046	na	G000856625	Full	strain=WMV-Fr		Watermelon mosaic virus	microbes	na	na	Major	0.1	1	0	0	2004/01/22	146500	NA	146500	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Watermelon_mosaic_virus	latest	NA
